Area,Rooms,Floor,BuildingAge,MetroMinutes,District,Renovation,PriceMillion
36.9,2,13,55,29.3,Центр,Обычный,9.53
41.8,1,20,58,6.9,Юг,Обычный,10.3
55.5,4,2,51,18.7,Юг,Хороший,11.56
144.1,5,25,38,6.6,Восток,Обычный,35.03
47.0,3,11,7,5.9,Запад,Хороший,11.66
40.9,1,23,30,6.2,Юг,Обычный,7.94
135.2,5,5,21,28.0,Восток,Хороший,30.88
100.8,4,10,12,27.9,Центр,Обычный,25.34
114.6,4,2,49,16.7,Центр,Обычный,28.76
69.5,2,12,32,7.9,Север,Обычный,16.64
137.3,6,3,1,2.8,Юг,Обычный,34.65
142.2,6,11,3,4.6,Юг,Обычный,30.68
93.3,4,3,0,32.2,Юг,Хороший,23.18
143.5,6,12,36,12.8,Восток,Обычный,29.26
87.2,2,23,11,5.9,Север,Обычный,23.41
79.4,3,1,19,32.6,Юг,Хороший,17.57
119.9,4,17,56,32.5,Север,Обычный,22.99
103.4,5,14,13,16.3,Запад,Обычный,24.27
51.5,3,16,29,12.9,Север,Хороший,13.46
88.2,4,4,20,9.6,Центр,Обычный,22.83
29.9,1,25,10,21.1,Север,Хороший,7.17
130.5,5,19,45,9.7,Восток,Без ремонта,25.57
91.5,4,14,13,10.1,Север,Обычный,21.6
33.4,2,5,45,32.7,Восток,Обычный,7.95
137.7,4,24,8,4.0,Восток,Обычный,29.88
144.9,5,6,39,8.2,Север,Без ремонта,26.36
114.3,4,17,34,4.6,Запад,Обычный,26.09
78.5,4,5,47,3.2,Запад,Обычный,17.54
97.2,4,12,12,5.3,Север,Без ремонта,19.29
29.2,2,1,41,32.4,Север,Обычный,10.14
40.7,1,18,37,33.3,Юг,Обычный,6.75
66.7,2,21,47,34.3,Север,Хороший,22.29
76.1,3,11,59,13.3,Запад,Хороший,18.47
116.4,4,21,59,34.2,Запад,Обычный,20.84
48.0,1,5,37,32.4,Юг,Хороший,10.24
41.6,2,2,40,12.7,Восток,Обычный,7.86
109.6,4,2,14,21.4,Центр,Обычный,28.56
131.9,4,1,1,22.9,Восток,Обычный,26.68
130.9,6,24,10,7.8,Север,Хороший,32.98
114.8,3,14,50,27.4,Юг,Без ремонта,21.94
143.1,5,10,17,22.2,Запад,Обычный,30.68
89.1,4,7,0,12.6,Север,Обычный,21.87
118.6,4,21,29,26.4,Запад,Хороший,26.48
76.8,3,12,2,16.9,Центр,Без ремонта,21.75
69.3,2,11,12,6.3,Запад,Хороший,23.76
134.6,5,7,15,15.9,Центр,Хороший,34.42
78.4,3,2,0,5.9,Центр,Обычный,20.21
115.3,4,15,3,15.5,Центр,Хороший,31.83
86.2,4,14,48,10.3,Восток,Без ремонта,21.42
41.1,1,21,37,4.4,Север,Хороший,12.92
42.8,2,3,34,6.7,Центр,Обычный,17.59
87.7,5,22,40,5.4,Восток,Обычный,18.84
110.8,4,19,44,26.6,Восток,Обычный,22.26
114.9,4,19,59,30.7,Центр,Обычный,28.33
67.3,2,10,24,10.5,Юг,Обычный,15.59
29.1,2,12,54,15.7,Юг,Обычный,5.42
90.4,3,20,13,31.7,Запад,Хороший,26.35
50.2,1,10,30,13.2,Запад,Обычный,12.22
65.5,1,3,37,22.6,Юг,Обычный,12.8
94.3,4,9,37,25.8,Юг,Хороший,20.89
73.8,2,1,25,21.8,Юг,Хороший,15.39
81.7,3,5,30,34.6,Север,Хороший,19.52
33.9,1,4,17,4.1,Восток,Без ремонта,10.73
49.4,1,19,47,5.5,Восток,Хороший,13.75
126.5,5,24,51,34.6,Центр,Обычный,31.48
87.9,2,9,34,20.7,Запад,Без ремонта,15.14
131.6,5,7,59,14.3,Запад,Обычный,28.46
128.3,4,20,22,33.1,Юг,Обычный,27.05
50.6,1,15,47,32.0,Север,Обычный,11.09
74.8,2,10,27,31.1,Север,Обычный,15.06
89.5,3,10,54,2.9,Запад,Хороший,18.45
39.4,1,25,60,15.5,Север,Хороший,11.08
38.0,2,6,36,29.5,Запад,Обычный,10.86
126.5,4,13,54,15.9,Север,Хороший,30.23
124.7,4,4,15,24.8,Север,Без ремонта,24.37
72.8,2,17,22,29.1,Запад,Обычный,19.16
110.7,2,15,51,24.3,Запад,Хороший,22.31
88.6,3,6,40,11.3,Север,Обычный,20.57
115.5,4,12,44,25.7,Север,Обычный,27.65
64.9,2,3,43,33.1,Восток,Обычный,15.98
83.5,2,24,8,16.1,Восток,Обычный,23.53
132.5,5,22,13,12.2,Запад,Хороший,29.84
123.5,4,21,59,23.2,Восток,Хороший,26.28
64.3,3,8,32,10.0,Юг,Без ремонта,13.12
131.2,5,21,57,13.1,Юг,Обычный,28.89
74.7,2,7,2,14.3,Север,Обычный,14.94
107.8,4,2,22,29.7,Север,Обычный,23.26
111.2,4,5,40,26.6,Север,Хороший,23.39
75.0,2,12,27,30.3,Восток,Хороший,17.39
124.8,4,13,51,2.1,Запад,Обычный,24.01
82.4,3,1,24,8.0,Запад,Обычный,21.03
140.4,6,23,47,32.1,Север,Обычный,24.52
137.6,5,22,30,21.7,Запад,Обычный,30.73
133.3,6,11,52,33.2,Центр,Обычный,27.17
134.3,5,7,16,14.8,Запад,Обычный,28.06
45.2,1,16,45,8.7,Север,Обычный,12.33
103.9,3,11,9,23.3,Юг,Обычный,22.31
114.7,5,17,22,8.8,Центр,Без ремонта,24.74
89.9,2,6,57,11.3,Юг,Обычный,12.23
89.9,4,7,6,15.6,Запад,Обычный,21.96
51.6,3,3,40,26.9,Запад,Обычный,12.2
46.8,1,16,12,19.9,Юг,Хороший,9.34
119.6,5,24,60,20.7,Центр,Без ремонта,30.48
45.5,3,23,24,18.1,Восток,Хороший,16.01
113.2,4,15,42,33.3,Восток,Без ремонта,17.21
37.0,1,4,55,34.9,Запад,Хороший,11.39
76.2,3,12,19,18.5,Восток,Обычный,14.0
30.8,1,11,38,19.8,Запад,Хороший,13.85
105.3,3,20,48,2.2,Восток,Обычный,26.99
62.3,2,7,41,27.2,Юг,Без ремонта,14.17
82.7,2,13,14,25.1,Запад,Обычный,15.41
61.5,2,13,27,4.5,Север,Хороший,16.89
88.3,3,22,60,6.3,Юг,Хороший,18.06
104.9,2,24,4,3.9,Восток,Хороший,24.21
47.5,1,21,23,16.2,Восток,Хороший,18.36
118.9,4,8,18,20.7,Восток,Хороший,27.95
119.6,6,1,25,4.6,Юг,Без ремонта,24.25
138.2,4,16,6,33.4,Центр,Обычный,31.32
72.5,3,13,42,3.7,Запад,Без ремонта,13.99
130.2,4,24,6,7.1,Восток,Хороший,30.43
39.0,1,1,18,28.0,Центр,Обычный,12.91
144.3,6,16,30,23.6,Восток,Обычный,29.66
52.8,2,10,27,30.0,Север,Обычный,10.56
71.7,3,13,9,31.9,Юг,Хороший,16.9
38.9,2,10,21,34.5,Юг,Обычный,7.94
125.7,5,2,41,22.1,Север,Без ремонта,24.07
84.9,2,20,1,21.0,Юг,Без ремонта,15.36
140.6,5,1,51,2.5,Север,Обычный,29.31
44.9,2,6,35,17.6,Восток,Обычный,11.31
132.3,5,18,46,11.3,Центр,Хороший,33.23
70.1,3,15,35,4.0,Север,Обычный,16.66
55.6,2,15,60,22.5,Центр,Без ремонта,11.2
104.9,4,12,21,3.5,Восток,Обычный,23.88
31.5,1,10,1,22.8,Запад,Без ремонта,8.39
89.5,4,21,22,33.8,Юг,Обычный,14.06
83.4,3,15,47,15.8,Запад,Хороший,21.43
33.7,1,21,2,23.6,Восток,Обычный,10.22
78.8,4,12,35,2.3,Запад,Без ремонта,17.93
63.7,2,2,18,13.7,Юг,Хороший,14.92
57.1,2,15,45,5.6,Запад,Хороший,18.81
136.8,4,20,44,10.4,Центр,Обычный,34.45
98.0,3,17,7,2.8,Юг,Хороший,22.75
46.0,2,4,29,18.2,Север,Обычный,12.02
116.6,3,18,30,27.7,Север,Хороший,26.91
71.2,3,17,11,26.1,Юг,Без ремонта,8.82
98.1,2,2,2,34.5,Центр,Хороший,26.28
72.5,2,2,8,31.8,Запад,Обычный,12.55
102.7,4,17,12,25.3,Север,Обычный,22.72
107.8,3,3,29,27.1,Центр,Обычный,21.63
61.2,1,24,27,21.2,Север,Хороший,17.23
125.2,4,24,28,2.6,Юг,Обычный,32.82
100.3,4,8,54,27.2,Юг,Обычный,17.9
98.8,5,22,28,22.3,Центр,Обычный,23.02
53.5,3,6,11,32.8,Север,Обычный,8.5
57.7,3,12,35,8.2,Юг,Обычный,11.02
74.3,3,3,59,32.8,Север,Обычный,16.72
32.0,2,6,21,7.4,Север,Обычный,9.71
34.4,1,18,3,4.1,Восток,Хороший,8.82
105.5,3,6,24,22.9,Восток,Без ремонта,19.46
65.0,3,6,38,12.7,Юг,Обычный,13.22
112.3,5,8,20,19.6,Юг,Без ремонта,23.45
36.8,2,6,32,14.4,Юг,Без ремонта,5.56
114.6,4,9,37,8.0,Север,Обычный,26.16
53.1,1,11,3,30.3,Запад,Хороший,14.42
129.7,4,2,2,28.5,Центр,Хороший,28.83
134.1,5,23,41,11.4,Запад,Без ремонта,25.41
108.6,5,9,42,13.0,Север,Хороший,29.41
74.1,2,11,18,27.3,Запад,Без ремонта,15.36
31.0,1,2,48,17.0,Запад,Обычный,7.94
117.1,4,12,42,25.1,Восток,Обычный,23.71
93.8,4,2,22,32.3,Запад,Хороший,18.7
37.6,1,8,8,29.6,Запад,Обычный,8.57
94.8,3,22,1,21.7,Север,Хороший,24.95
28.7,2,4,15,28.0,Центр,Хороший,14.5
80.8,3,17,42,8.1,Запад,Хороший,23.78
99.8,3,19,38,29.8,Восток,Хороший,23.33
121.9,4,20,38,10.2,Запад,Обычный,28.44
62.0,3,3,19,16.0,Центр,Обычный,16.6
55.1,1,18,45,22.1,Восток,Обычный,14.54
66.7,2,25,5,12.7,Восток,Без ремонта,12.21
34.9,2,8,8,29.3,Восток,Хороший,11.6
137.0,5,21,29,21.6,Запад,Без ремонта,27.32
131.0,5,17,34,33.3,Запад,Без ремонта,28.45
98.4,2,22,40,11.2,Запад,Обычный,21.44
36.7,1,23,23,25.1,Юг,Обычный,9.64
37.8,2,6,8,7.1,Север,Хороший,11.99
137.1,5,24,3,7.7,Юг,Обычный,33.28
42.6,2,12,53,19.0,Центр,Обычный,14.91
45.0,1,11,38,31.7,Восток,Хороший,14.72
119.9,5,1,14,17.6,Север,Хороший,28.3
63.3,3,23,30,20.4,Центр,Обычный,20.05
76.2,3,2,57,33.4,Запад,Обычный,16.82
76.0,2,19,49,8.7,Юг,Обычный,18.77
109.9,4,24,37,29.8,Запад,Хороший,27.53
83.3,4,6,21,27.2,Юг,Обычный,17.88
123.0,4,1,9,24.0,Юг,Обычный,28.06
86.0,3,15,24,14.5,Север,Обычный,13.52
62.0,2,23,17,30.6,Восток,Хороший,15.16
50.8,1,8,15,34.0,Север,Обычный,8.81
116.3,4,18,39,14.7,Запад,Обычный,28.36
53.7,2,6,29,15.8,Запад,Хороший,15.16
99.2,3,9,30,26.3,Юг,Без ремонта,19.73
98.4,3,13,28,19.3,Восток,Хороший,23.77
140.7,5,13,1,8.8,Север,Хороший,36.92
38.5,1,16,4,31.4,Юг,Обычный,10.25
52.3,2,3,20,24.3,Восток,Обычный,11.68
105.4,3,1,58,16.6,Север,Обычный,22.79
66.7,3,7,52,15.6,Юг,Обычный,13.93
43.0,1,8,50,22.8,Запад,Хороший,10.88
132.8,5,19,58,12.2,Юг,Хороший,30.98
113.6,4,10,51,22.4,Центр,Обычный,30.17
54.0,2,20,50,5.9,Север,Обычный,15.33
39.1,2,6,29,14.9,Север,Хороший,10.78
126.6,4,1,9,28.7,Центр,Без ремонта,29.85
94.7,3,18,23,6.6,Запад,Обычный,20.7
136.8,4,13,16,25.1,Юг,Хороший,23.41
88.5,2,6,44,25.6,Юг,Обычный,14.68
55.0,3,17,31,26.5,Центр,Хороший,18.55
43.6,1,15,60,3.1,Юг,Обычный,6.34
76.9,2,11,16,29.3,Центр,Обычный,19.94
108.0,4,21,46,10.6,Центр,Обычный,29.64
28.5,1,23,10,7.7,Юг,Хороший,10.66
74.3,3,24,5,5.4,Запад,Обычный,20.62
75.2,2,9,41,21.7,Север,Хороший,17.65
106.5,3,5,48,25.7,Юг,Обычный,15.01
50.8,1,11,50,23.0,Юг,Обычный,10.12
130.5,4,6,27,32.5,Восток,Обычный,24.39
66.0,3,12,29,14.7,Запад,Хороший,19.19
124.7,5,7,0,5.4,Центр,Обычный,27.65
124.8,5,24,5,11.6,Восток,Хороший,31.32
131.5,5,9,15,8.5,Запад,Обычный,31.32
58.3,2,13,58,25.8,Восток,Обычный,14.73
126.3,4,8,55,27.5,Север,Хороший,28.16
55.0,2,6,56,17.8,Центр,Обычный,11.86
74.7,3,18,29,10.7,Юг,Обычный,16.92
48.8,2,10,34,17.0,Юг,Обычный,6.21
84.6,2,12,45,24.1,Юг,Хороший,14.41
36.8,3,22,36,7.6,Север,Хороший,13.93
140.0,4,2,26,19.3,Центр,Обычный,33.65
29.5,1,5,24,9.8,Север,Обычный,9.03
86.1,4,6,0,27.3,Юг,Обычный,21.48
126.1,4,5,15,19.4,Запад,Хороший,31.91
43.5,2,7,36,18.1,Запад,Обычный,12.21
97.9,2,1,10,19.0,Север,Хороший,19.85
90.1,3,20,17,13.3,Запад,Хороший,22.14
116.6,2,17,48,30.2,Юг,Без ремонта,20.4
109.7,5,4,8,2.7,Север,Обычный,22.95
124.5,4,20,39,10.8,Юг,Обычный,23.38
120.8,4,3,41,12.3,Север,Без ремонта,20.57
96.2,4,5,41,8.0,Север,Без ремонта,18.39
68.9,3,16,37,24.7,Запад,Хороший,18.44
40.6,2,21,52,2.8,Юг,Хороший,15.16
47.2,2,3,15,22.1,Запад,Хороший,14.34
129.9,5,1,34,26.5,Восток,Без ремонта,23.99
59.2,2,18,2,11.1,Запад,Обычный,13.42
132.6,5,21,20,11.1,Юг,Обычный,31.82
63.8,3,5,49,17.0,Юг,Обычный,13.84
34.7,2,17,53,13.2,Запад,Хороший,13.37
61.9,3,16,42,10.9,Запад,Обычный,12.94
73.0,2,2,59,23.3,Север,Обычный,11.66
40.1,1,9,7,11.1,Юг,Хороший,13.02
78.3,2,1,11,24.9,Восток,Обычный,16.9
121.4,4,2,47,14.1,Юг,Хороший,29.81
76.4,3,7,41,29.8,Центр,Хороший,19.7
85.8,2,18,23,33.3,Запад,Обычный,17.56
144.9,5,15,26,26.4,Юг,Обычный,28.2
