CustomerId,Age,ContractMonths,MonthlySpend,UsageHours,SupportCalls,Region,Plan,InternetType,AutoPay,Churn,TenureGroup,HighSupport
C0091,48.0,33,1766.3,19.6,2,Центр,Стандарт,Оптика,Да,Нет,Стабильный,0
C0092,38.0,9,1466.59,11.8,0,Восток,Стандарт,Оптика,Да,Нет,Новый,0
C0093,33.0,8,1721.75,21.8,3,Центр,Стандарт,Мобильный,Да,Нет,Новый,0
C0094,38.0,35,846.16,20.6,2,Центр,Премиум,Оптика,Нет,Нет,Стабильный,0
C0095,18.0,12,1592.35,21.8,1,Юг,Базовый,Мобильный,Нет,Нет,Новый,0
C0096,20.0,60,1319.87,27.2,1,Юг,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0097,22.0,52,1242.4,21.9,2,Запад,Стандарт,Мобильный,Да,Нет,Долгосрочный,0
C0098,26.0,43,1824.34,27.0,2,Запад,Базовый,Мобильный,Да,Да,Долгосрочный,0
C0099,44.0,45,2086.09,21.9,2,Центр,Стандарт,Мобильный,Нет,Нет,Долгосрочный,0
C0100,27.0,36,2221.58,36.1,2,Центр,Премиум,DSL,Нет,Нет,Стабильный,0
C0101,34.0,4,2015.37,70.45,1,Север,Стандарт,Оптика,Да,Нет,Новый,0
C0102,56.0,24,1402.81,32.6,3,Юг,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0103,34.0,30,1601.67,22.4,1,Юг,Стандарт,Оптика,Нет,Да,Стабильный,0
C0104,49.0,55,1779.73,6.2,3,Запад,Премиум,Оптика,Нет,Нет,Долгосрочный,0
C0105,27.0,14,1502.11,69.2,5,Восток,Премиум,Мобильный,Да,Нет,Стабильный,1
C0106,36.0,30,1506.23,33.5,1,Центр,Стандарт,DSL,Нет,Нет,Стабильный,0
C0107,27.0,21,1804.21,26.9,3,Север,Базовый,Оптика,Да,Нет,Стабильный,0
C0108,35.0,9,1424.51,6.5,1,Юг,Базовый,Оптика,Да,Нет,Новый,0
C0109,50.0,7,1136.41,27.6,1,Юг,Стандарт,DSL,Нет,Нет,Новый,0
C0110,18.0,22,1271.78,31.3,2,Центр,Премиум,Оптика,Да,Нет,Стабильный,0
C0111,45.0,5,1722.58,22.0,2,Север,Стандарт,DSL,Да,Нет,Новый,0
C0112,42.0,5,1451.29,13.2,1,Север,Базовый,Оптика,Нет,Нет,Новый,0
C0113,31.0,22,1596.29,12.7,2,Центр,Базовый,Мобильный,Нет,Нет,Стабильный,0
C0114,20.0,13,1738.13,69.8,5,Восток,Стандарт,Оптика,Да,Нет,Стабильный,1
C0115,40.0,34,1288.82,30.9,2,Север,Премиум,Оптика,Да,Нет,Стабильный,0
C0116,32.0,2,1775.19,21.9,1,Юг,Базовый,DSL,Нет,Нет,Новый,0
C0117,42.0,19,1612.9,29.9,3,Юг,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0118,39.0,28,919.03,28.9,1,Запад,Стандарт,Мобильный,Нет,Нет,Стабильный,0
C0119,60.0,58,2070.19,12.3,6,Центр,Премиум,DSL,Нет,Нет,Долгосрочный,1
C0120,36.0,39,1234.68,45.7,0,Центр,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0121,26.0,53,738.31,26.5,0,Север,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0122,41.0,21,1000.63,31.1,1,Север,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0123,42.0,27,1010.95,58.3,1,Центр,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0124,57.0,26,1472.43,13.5,2,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0125,50.0,54,1332.24,19.0,2,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0126,44.0,58,1466.59,34.4,1,Центр,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0127,58.0,58,1716.47,45.2,2,Север,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0128,24.0,46,1596.15,20.8,3,Восток,Стандарт,Мобильный,Да,Нет,Долгосрочный,0
C0129,31.0,31,1585.9,21.5,0,Запад,Стандарт,DSL,Нет,Нет,Стабильный,0
C0130,27.0,33,1626.23,40.1,2,Восток,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0131,34.0,59,1714.94,70.45,0,Юг,Базовый,DSL,Нет,Нет,Долгосрочный,0
C0132,21.0,18,543.58,30.4,1,Восток,Стандарт,Мобильный,Нет,Нет,Стабильный,0
C0133,47.0,21,1293.29,19.0,1,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0134,36.0,54,512.51,15.9,1,Центр,Премиум,Оптика,Нет,Нет,Долгосрочный,0
C0135,20.0,24,1465.51,27.2,0,Юг,Премиум,DSL,Да,Нет,Стабильный,0
C0136,26.0,15,1448.01,44.2,4,Восток,Базовый,Оптика,Да,Нет,Стабильный,1
C0137,43.0,34,1899.58,70.45,0,Север,Базовый,Мобильный,Нет,Нет,Стабильный,0
C0138,50.0,20,1960.68,24.8,3,Восток,Базовый,Оптика,Нет,Нет,Стабильный,0
C0139,65.0,54,1537.19,30.5,2,Юг,Стандарт,Оптика,Нет,Нет,Долгосрочный,0
C0140,77.0,55,1234.84,64.0,2,Юг,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0141,44.0,19,1658.62,34.1,5,Центр,Стандарт,Оптика,Нет,Нет,Стабильный,1
C0142,26.0,32,1223.0,32.7,0,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0143,18.0,60,1449.4,57.9,2,Запад,Базовый,Оптика,Нет,Нет,Долгосрочный,0
C0144,42.0,45,1874.04,30.8,1,Центр,Базовый,DSL,Нет,Да,Долгосрочный,0
C0145,28.0,13,1210.16,16.7,0,Север,Премиум,Оптика,Да,Нет,Стабильный,0
C0146,34.0,36,1796.44,52.1,0,Центр,Стандарт,Мобильный,Нет,Нет,Стабильный,0
C0147,31.0,38,1741.28,11.1,4,Центр,Стандарт,Мобильный,Нет,Нет,Долгосрочный,1
C0148,37.0,40,1039.44,47.8,3,Запад,Базовый,Мобильный,Нет,Нет,Долгосрочный,0
C0149,53.0,2,1868.77,29.2,1,Юг,Премиум,Оптика,Нет,Нет,Новый,0
C0150,41.0,18,1750.38,25.0,6,Север,Базовый,Оптика,Нет,Да,Стабильный,1
C0151,37.0,52,1493.83,24.6,2,Центр,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0152,26.0,15,1122.2,27.1,2,Запад,Премиум,Мобильный,Да,Нет,Стабильный,0
C0153,39.0,18,1080.54,23.1,1,Центр,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0154,33.0,20,1218.81,36.6,0,Восток,Премиум,Оптика,Нет,Нет,Стабильный,0
C0155,38.0,11,1683.32,23.5,0,Центр,Базовый,Оптика,Нет,Нет,Новый,0
C0156,62.0,10,1039.08,8.7,2,Центр,Стандарт,Оптика,Да,Нет,Новый,0
C0157,41.0,21,1638.13,29.3,1,Восток,Базовый,Мобильный,Да,Нет,Стабильный,0
C0158,52.0,53,916.05,8.3,0,Центр,Стандарт,Оптика,Нет,Нет,Долгосрочный,0
C0159,33.0,1,1362.25,29.2,3,Восток,Базовый,Оптика,Нет,Нет,Новый,0
C0160,24.0,17,1497.15,22.8,1,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0161,26.0,4,2501.41,46.1,0,Восток,Базовый,Оптика,Да,Нет,Новый,0
C0162,30.0,34,857.75,25.5,6,Восток,Базовый,Оптика,Да,Нет,Стабильный,1
C0163,67.0,16,2082.97,42.8,0,Восток,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0164,28.0,48,1514.43,40.4,0,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0165,50.0,36,1626.8,40.9,0,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0166,27.0,48,1500.89,60.3,0,Запад,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0167,51.0,39,1641.23,26.0,3,Центр,Премиум,Оптика,Нет,Нет,Долгосрочный,0
C0168,44.0,27,1383.92,30.2,0,Центр,Базовый,Оптика,Нет,Нет,Стабильный,0
C0169,37.0,52,2075.24,36.2,2,Восток,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0170,38.0,29,1253.72,30.7,1,Центр,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0171,30.0,57,1936.86,25.5,3,Восток,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0172,45.0,60,1172.92,17.6,0,Восток,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0173,33.0,36,1424.09,29.5,2,Центр,Стандарт,DSL,Да,Нет,Стабильный,0
C0174,23.0,41,989.06,11.9,2,Юг,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0175,22.0,16,1645.66,7.9,0,Юг,Базовый,Оптика,Нет,Нет,Стабильный,0
C0176,41.0,49,2071.4,15.3,1,Север,Стандарт,Мобильный,Нет,Нет,Долгосрочный,0
C0177,60.0,41,1416.74,40.7,0,Центр,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0178,41.0,55,1365.34,33.0,0,Центр,Премиум,Мобильный,Да,Нет,Долгосрочный,0
C0179,37.0,17,970.71,40.9,2,Север,Базовый,Оптика,Да,Нет,Стабильный,0
C0180,43.0,48,1351.4,20.0,2,Запад,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0181,56.0,29,765.1,48.4,2,Центр,Базовый,DSL,Да,Да,Стабильный,0
C0182,42.0,12,1057.46,12.7,2,Запад,Базовый,Оптика,Нет,Нет,Новый,0
C0183,34.0,11,1547.52,15.7,4,Центр,Базовый,Мобильный,Да,Да,Новый,1
C0184,53.0,34,2017.18,48.0,1,Юг,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0186,59.0,7,1197.77,41.0,2,Восток,Стандарт,Оптика,Нет,Нет,Новый,0
C0187,41.0,26,2067.18,33.1,0,Восток,Стандарт,Мобильный,Нет,Нет,Стабильный,0
C0188,23.0,40,1554.81,21.5,1,Запад,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0189,21.0,20,1384.96,14.6,1,Запад,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0190,39.0,58,1636.02,9.3,1,Восток,Базовый,DSL,Да,Нет,Долгосрочный,0
C0191,61.0,47,1476.62,66.7,2,Восток,Премиум,Мобильный,Нет,Нет,Долгосрочный,0
C0192,37.0,31,1497.47,10.8,5,Юг,Базовый,Оптика,Нет,Нет,Стабильный,1
C0193,34.0,57,1274.42,57.0,2,Запад,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0194,58.0,26,848.81,30.9,0,Юг,Премиум,Мобильный,Нет,Да,Стабильный,0
C0195,25.0,9,786.24,33.6,1,Запад,Стандарт,DSL,Да,Да,Новый,0
C0196,27.0,3,1730.9,32.5,1,Центр,Стандарт,DSL,Нет,Да,Новый,0
C0197,47.0,57,1331.02,38.5,1,Юг,Стандарт,Оптика,Нет,Нет,Долгосрочный,0
C0198,34.0,58,1193.68,18.9,2,Восток,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0199,39.0,45,1453.66,7.2,1,Центр,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0200,37.0,7,1791.82,21.3,3,Центр,Премиум,Оптика,Нет,Нет,Новый,0
C0201,43.0,18,1527.56,36.8,4,Запад,Премиум,Оптика,Нет,Нет,Стабильный,1
C0202,57.0,3,1167.9,15.7,2,Север,Стандарт,Оптика,Да,Нет,Новый,0
C0203,40.0,4,1977.31,49.0,2,Центр,Базовый,DSL,Нет,Да,Новый,0
C0204,47.0,15,2129.05,27.4,0,Север,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0205,18.0,35,1662.66,14.9,0,Север,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0206,38.0,4,1868.68,31.6,1,Юг,Базовый,DSL,Да,Нет,Новый,0
C0207,28.0,60,1984.04,36.5,4,Запад,Базовый,DSL,Да,Нет,Долгосрочный,1
C0208,23.0,28,1935.94,37.9,0,Запад,Базовый,DSL,Нет,Нет,Стабильный,0
C0209,28.0,16,1714.06,3.5,1,Восток,Стандарт,Оптика,Да,Нет,Стабильный,0
C0210,35.0,31,1707.29,3.0,0,Восток,Базовый,DSL,Да,Нет,Стабильный,0
C0211,51.0,48,1673.45,48.0,1,Север,Базовый,Оптика,Нет,Нет,Долгосрочный,0
C0212,22.0,19,978.14,12.1,3,Запад,Базовый,Мобильный,Нет,Нет,Стабильный,0
C0213,39.0,3,1751.31,48.0,3,Центр,Премиум,DSL,Нет,Да,Новый,0
C0214,39.0,4,867.0,50.2,2,Центр,Базовый,Оптика,Да,Да,Новый,0
C0215,35.0,52,1108.32,14.6,0,Запад,Базовый,DSL,Нет,Нет,Долгосрочный,0
C0216,52.0,7,2010.53,16.3,1,Запад,Стандарт,DSL,Да,Да,Новый,0
C0217,46.0,39,1811.29,42.0,2,Север,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0218,56.0,24,2089.58,23.6,1,Восток,Премиум,Оптика,Нет,Да,Стабильный,0
C0219,37.0,47,1333.18,53.9,2,Юг,Премиум,Мобильный,Нет,Нет,Долгосрочный,0
C0221,36.0,54,1346.61,14.9,3,Центр,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0222,42.0,42,1493.87,18.7,2,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0223,41.0,27,1483.97,30.8,0,Юг,Базовый,DSL,Да,Да,Стабильный,0
C0224,25.0,13,1937.48,7.0,0,Север,Базовый,Мобильный,Да,Да,Стабильный,0
C0225,40.0,59,1294.65,9.5,1,Юг,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0226,42.0,19,1601.37,17.5,2,Центр,Базовый,Оптика,Нет,Нет,Стабильный,0
C0227,72.0,30,1024.89,70.45,2,Запад,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0228,63.0,24,1643.64,33.3,2,Юг,Базовый,Оптика,Нет,Нет,Стабильный,0
C0229,28.0,14,1451.34,20.4,1,Запад,Базовый,Оптика,Да,Нет,Стабильный,0
C0230,35.0,25,1127.58,16.3,2,Центр,Стандарт,DSL,Да,Нет,Стабильный,0
C0231,39.0,10,1348.59,14.5,2,Юг,Стандарт,DSL,Да,Нет,Новый,0
C0232,31.0,1,1370.8,21.2,1,Запад,Базовый,DSL,Нет,Нет,Новый,0
C0233,43.0,18,1333.83,20.6,2,Север,Базовый,Оптика,Да,Нет,Стабильный,0
C0234,55.0,7,2211.68,25.9,3,Центр,Базовый,Оптика,Да,Нет,Новый,0
C0235,30.0,25,1407.67,37.4,3,Центр,Базовый,DSL,Нет,Нет,Стабильный,0
C0236,30.0,52,1345.12,28.0,3,Центр,Премиум,Оптика,Нет,Да,Долгосрочный,0
C0237,18.0,10,548.1,43.3,1,Север,Премиум,Оптика,Да,Нет,Новый,0
C0238,37.0,1,1065.49,24.9,2,Север,Стандарт,DSL,Да,Нет,Новый,0
C0239,25.0,7,1336.88,63.8,2,Центр,Стандарт,Мобильный,Нет,Да,Новый,0
C0240,32.0,31,1155.08,42.8,0,Юг,Стандарт,Оптика,Да,Нет,Стабильный,0
C0241,28.0,17,2044.13,32.8,2,Центр,Стандарт,Оптика,Да,Нет,Стабильный,0
C0242,38.0,30,1379.08,37.5,5,Север,Базовый,Оптика,Нет,Да,Стабильный,1
C0243,18.0,2,2004.03,21.6,1,Восток,Базовый,Оптика,Да,Нет,Новый,0
C0244,20.0,20,1476.53,25.6,0,Центр,Стандарт,Мобильный,Да,Нет,Стабильный,0
C0245,67.0,25,1466.01,25.1,1,Центр,Стандарт,Оптика,Да,Нет,Стабильный,0
C0246,22.0,26,1411.82,19.1,1,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0247,25.0,34,1451.63,13.0,1,Центр,Базовый,Мобильный,Да,Нет,Стабильный,0
C0248,63.0,47,2189.08,38.5,2,Юг,Базовый,Мобильный,Да,Да,Долгосрочный,0
C0249,77.0,29,452.57,46.7,3,Центр,Базовый,Мобильный,Да,Нет,Стабильный,0
C0250,24.0,51,589.34,35.8,1,Центр,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0251,34.0,32,1216.44,28.0,1,Запад,Стандарт,DSL,Нет,Нет,Стабильный,0
C0252,43.0,16,1456.25,70.45,6,Запад,Стандарт,Оптика,Нет,Нет,Стабильный,1
C0253,61.0,14,1746.74,20.3,0,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0254,26.0,20,1653.43,33.4,2,Север,Базовый,Оптика,Да,Нет,Стабильный,0
C0255,36.0,36,1284.77,50.1,0,Юг,Премиум,Оптика,Нет,Нет,Стабильный,0
C0256,49.0,15,1888.19,15.4,1,Запад,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0257,45.0,55,1892.98,40.0,1,Восток,Базовый,Оптика,Нет,Нет,Долгосрочный,0
C0258,34.0,29,1529.14,65.8,2,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0259,37.0,52,1863.94,29.2,3,Центр,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0260,21.0,41,1567.24,31.8,2,Север,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0261,36.0,21,1208.56,20.3,0,Запад,Премиум,Оптика,Нет,Нет,Стабильный,0
C0262,36.0,14,1750.06,37.3,4,Запад,Стандарт,Оптика,Да,Нет,Стабильный,1
C0263,42.0,45,1497.56,18.8,3,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0264,32.0,20,1450.58,28.3,3,Юг,Стандарт,Оптика,Да,Нет,Стабильный,0
C0265,45.0,15,2083.37,12.1,1,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0266,52.0,56,396.12,4.8,3,Восток,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0267,41.0,29,840.4,22.6,2,Запад,Стандарт,Оптика,Да,Да,Стабильный,0
C0268,44.0,3,939.56,22.4,5,Север,Базовый,Оптика,Нет,Да,Новый,1
C0269,39.0,30,1293.8,23.7,5,Центр,Премиум,DSL,Нет,Да,Стабильный,1
C0270,39.0,28,1340.52,42.1,1,Юг,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0271,30.0,52,801.85,47.4,1,Север,Базовый,Мобильный,Да,Нет,Долгосрочный,0
C0272,43.0,43,1026.38,34.1,2,Восток,Базовый,DSL,Нет,Нет,Долгосрочный,0
C0273,38.0,12,1079.84,40.7,4,Север,Премиум,Оптика,Нет,Нет,Новый,1
C0274,66.0,10,2506.69,19.1,2,Запад,Премиум,Мобильный,Да,Нет,Новый,0
C0275,59.0,37,2224.75,16.6,3,Центр,Стандарт,Мобильный,Да,Нет,Долгосрочный,0
C0276,44.0,3,1466.59,37.6,2,Центр,Премиум,Оптика,Нет,Нет,Новый,0
