CustomerId,Age,ContractMonths,MonthlySpend,UsageHours,SupportCalls,Region,Plan,InternetType,AutoPay,Churn
C0038,-4.0,15,1452.59,29.1,3,Запад,Базовый,Мобильный,Да,Нет
C0039,28.0,7,1642.78,13.9,2,Север,Стандарт,DSL,Да,Нет
C0040,47.0,38,1951.08,48.1,1,Юг,Стандарт,Оптика,Да,Нет
C0041,49.0,15,2158.38,35.0,1,Юг,Базовый,DSL,Нет,Да
C0042,46.0,52,1583.14,27.1,2,Запад,Премиум,Оптика,Да,Нет
C0043,30.0,27,1703.51,19.8,0,Центр,Базовый,Оптика,Нет,Нет
C0044,42.0,1,955.13,10.9,0,Центр,Премиум,Мобильный,Да,Нет
C0045,41.0,58,1412.21,46.3,2,Север,Стандарт,Оптика,Да,Нет
C0046,42.0,31,1854.32,22.9,1,Центр,Базовый,Оптика,Да,Нет
C0047,50.0,16,1822.37,12.6,1,Север,Базовый,DSL,Нет,Нет
C0048,42.0,41,1540.99,19.5,0,Запад,Базовый,DSL,Нет,Нет
C0049,48.0,32,1831.15,36.8,0,Запад,Стандарт,Оптика,Да,Нет
C0050,40.0,2,1661.03,33.1,4,Центр,Базовый,DSL,Нет,Нет
C0051,43.0,46,1966.13,15.8,2,Север,Премиум,DSL,Да,Нет
C0052,47.0,25,1574.42,50.3,1,Север,Базовый,Мобильный,Да,Нет
C0053,20.0,42,1297.05,12.5,1,Юг,Премиум,Мобильный,Да,Нет
C0054,35.0,54,1594.41,55.4,4,Юг,Базовый,Оптика,Да,Нет
C0055,33.0,37,350.0,32.4,3,Центр,Премиум,Оптика,Да,Нет
C0056,31.0,41,5200.0,23.8,2,Запад,Базовый,Мобильный,Нет,Нет
C0057,35.0,16,350.0,25.6,0,Запад,Стандарт,DSL,Да,Нет
C0058,58.0,15,,30.6,2,,Стандарт,Оптика,Да,Нет
C0059,28.0,25,1644.26,38.3,2,Восток,Базовый,Оптика,Да,Нет
C0060,52.0,52,1655.34,9.7,0,Юг,Премиум,Мобильный,Да,Нет
C0061,18.0,32,950.16,19.2,1,Север,Базовый,Мобильный,Да,Нет
C0062,35.0,21,1143.8,30.1,3,Центр,Стандарт,Оптика,Нет,Нет
C0063,41.0,47,2039.33,51.3,2,Юг,Стандарт,DSL,Нет,Нет
C0064,47.0,52,1241.87,50.3,3,Центр,Стандарт,Оптика,Да,Нет
C0065,48.0,55,2414.46,61.1,1,Запад,Базовый,DSL,Нет,Да
C0066,49.0,18,1449.17,49.1,1,Север,Базовый,Мобильный,Да,Нет
C0067,34.0,43,1625.46,18.4,3,Север,Базовый,DSL,Да,Нет
C0068,33.0,36,2145.26,29.1,1,Север,Базовый,DSL,Да,Да
C0069,50.0,27,,49.3,4,Запад,Базовый,Оптика,Да,Нет
C0070,37.0,24,1018.99,46.9,1,Центр,Премиум,Оптика,Да,Нет
C0071,22.0,7,1402.82,26.3,2,Центр,Стандарт,Мобильный,Нет,Нет
C0072,24.0,17,1434.69,37.7,0,Центр,Стандарт,DSL,Да,Нет
C0073,27.0,33,863.16,22.8,0,Восток,Базовый,Мобильный,Нет,Да
C0074,45.0,54,1339.99,11.9,4,Запад,Базовый,DSL,Нет,Нет
C0075,41.0,52,1130.86,27.5,1,Центр,Стандарт,DSL,Нет,Нет
C0076,48.0,12,1847.47,26.7,2,Запад,Базовый,Оптика,Да,Нет
C0077,33.0,41,1464.88,22.2,1,Центр,Базовый,DSL,Нет,Нет
C0078,41.0,6,1328.4,38.3,2,Юг,Стандарт,Оптика,Да,Нет
C0079,47.0,41,1404.34,25.9,5,Центр,Стандарт,DSL,Да,Нет
C0080,35.0,21,1545.94,35.7,2,Юг,Премиум,DSL,Да,Нет
C0081,45.0,27,1715.23,42.4,0,Восток,Базовый,Оптика,Нет,Нет
C0082,30.0,44,1020.12,83.2,1,Юг,Стандарт,DSL,Да,Нет
C0083,34.0,26,1002.12,27.8,1,Центр,Базовый,Оптика,Да,Нет
C0084,34.0,49,1925.01,51.6,1,Запад,Базовый,Оптика,Нет,Нет
C0085,23.0,33,1272.7,32.9,3,Запад,Стандарт,DSL,Да,Нет
C0086,45.0,60,840.76,33.9,2,Север,Базовый,Оптика,Нет,Да
C0087,33.0,39,1640.84,28.0,1,Юг,Стандарт,DSL,Да,Нет
C0088,39.0,18,1649.25,31.5,1,Восток,Стандарт,Оптика,Да,Нет
C0089,45.0,47,791.79,170.0,2,Центр,Базовый,DSL,Да,Нет
C0090,45.0,25,1548.68,47.2,1,Запад,Премиум,Мобильный,Да,Нет
C0091,48.0,33,1766.3,19.6,2,Центр,Стандарт,Оптика,Да,Нет
C0092,38.0,9,,11.8,0,Восток,Стандарт,Оптика,Да,Нет
C0093,33.0,8,1721.75,21.8,3,Центр,Стандарт,Мобильный,Да,Нет
C0094,38.0,35,846.16,20.6,2,Центр,Премиум,Оптика,Нет,Нет
C0095,18.0,12,1592.35,21.8,1,Юг,Базовый,Мобильный,Нет,Нет
C0096,20.0,60,1319.87,27.2,1,Юг,Стандарт,Оптика,Да,Нет
C0097,22.0,52,1242.4,21.9,2,Запад,Стандарт,Мобильный,Да,Нет
C0098,26.0,43,1824.34,27.0,2,Запад,Базовый,Мобильный,Да,Да
C0099,44.0,45,2086.09,21.9,2,Центр,Стандарт,Мобильный,Нет,Нет
C0100,27.0,36,2221.58,36.1,2,Центр,Премиум,DSL,Нет,Нет
C0101,34.0,4,2015.37,82.8,1,Север,Стандарт,Оптика,Да,Нет
C0102,56.0,24,1402.81,32.6,3,Юг,Стандарт,Мобильный,Да,Нет
C0103,34.0,30,1601.67,22.4,1,Юг,Стандарт,Оптика,Нет,Да
C0104,49.0,55,1779.73,6.2,3,Запад,Премиум,Оптика,Нет,Нет
C0105,27.0,14,1502.11,69.2,5,Восток,Премиум,Мобильный,Да,Нет
C0106,36.0,30,1506.23,33.5,1,Центр,Стандарт,DSL,Нет,Нет
C0107,27.0,21,1804.21,26.9,3,Север,Базовый,Оптика,Да,Нет
C0108,35.0,9,1424.51,6.5,1,Юг,Базовый,Оптика,Да,Нет
C0109,50.0,7,1136.41,27.6,1,Юг,Стандарт,DSL,Нет,Нет
C0110,18.0,22,1271.78,31.3,2,Центр,Премиум,Оптика,Да,Нет
C0111,45.0,5,1722.58,22.0,2,Север,Стандарт,DSL,Да,Нет
C0112,42.0,5,1451.29,13.2,1,Север,Базовый,Оптика,Нет,Нет
C0113,31.0,22,1596.29,12.7,2,Центр,Базовый,Мобильный,Нет,Нет
C0114,20.0,13,1738.13,69.8,5,Восток,Стандарт,Оптика,Да,Нет
C0115,40.0,34,1288.82,30.9,2,Север,Премиум,Оптика,Да,Нет
C0116,32.0,2,1775.19,21.9,1,Юг,Базовый,DSL,Нет,Нет
C0117,42.0,19,1612.9,29.9,3,Юг,Стандарт,Мобильный,Да,Нет
C0118,,28,919.03,28.9,1,Запад,Стандарт,Мобильный,Нет,Нет
C0119,60.0,58,2070.19,12.3,6,Центр,Премиум,DSL,Нет,Нет
C0120,36.0,39,1234.68,45.7,0,Центр,Базовый,Оптика,Да,Нет
C0121,26.0,53,738.31,26.5,0,Север,Премиум,Оптика,Да,Нет
C0122,41.0,21,1000.63,31.1,1,Север,Стандарт,Оптика,Нет,Нет
C0123,42.0,27,1010.95,58.3,1,Центр,Стандарт,Оптика,Нет,Нет
C0124,57.0,26,1472.43,13.5,2,Восток,Базовый,Оптика,Да,Нет
C0125,50.0,54,1332.24,19.0,2,Центр,Стандарт,Оптика,Да,Нет
C0126,44.0,58,,34.4,1,,Стандарт,DSL,Нет,Нет
C0127,58.0,58,1716.47,45.2,2,Север,Базовый,Оптика,Да,Нет
C0128,24.0,46,1596.15,20.8,3,Восток,Стандарт,Мобильный,Да,Нет
C0129,31.0,31,1585.9,21.5,0,Запад,Стандарт,DSL,Нет,Нет
C0130,27.0,33,1626.23,40.1,2,Восток,Стандарт,Оптика,Нет,Нет
C0131,34.0,59,1714.94,79.6,0,Юг,Базовый,DSL,Нет,Нет
C0132,21.0,18,543.58,30.4,1,Восток,Стандарт,Мобильный,Нет,Нет
C0133,47.0,21,1293.29,19.0,1,Восток,Базовый,Оптика,Да,Нет
C0134,36.0,54,512.51,15.9,1,Центр,Премиум,Оптика,Нет,Нет
C0135,20.0,24,1465.51,27.2,0,Юг,Премиум,DSL,Да,Нет
C0136,26.0,15,1448.01,44.2,4,Восток,Базовый,Оптика,Да,Нет
C0137,43.0,34,1899.58,96.9,0,Север,Базовый,Мобильный,Нет,Нет
C0138,50.0,20,1960.68,24.8,3,Восток,Базовый,Оптика,Нет,Нет
C0139,65.0,54,1537.19,30.5,2,Юг,Стандарт,Оптика,Нет,Нет
C0140,77.0,55,1234.84,64.0,2,Юг,Премиум,Оптика,Да,Нет
C0141,44.0,19,1658.62,34.1,5,Центр,Стандарт,Оптика,Нет,Нет
C0142,26.0,32,1223.0,32.7,0,Восток,Базовый,Оптика,Да,Нет
C0143,18.0,60,1449.4,57.9,2,Запад,Базовый,Оптика,Нет,Нет
C0144,42.0,45,1874.04,30.8,1,Центр,Базовый,DSL,Нет,Да
C0145,28.0,13,1210.16,16.7,0,Север,Премиум,Оптика,Да,Нет
C0146,34.0,36,1796.44,52.1,0,Центр,Стандарт,Мобильный,Нет,Нет
C0147,31.0,38,1741.28,11.1,4,Центр,Стандарт,Мобильный,Нет,Нет
C0148,37.0,40,1039.44,47.8,3,Запад,Базовый,Мобильный,Нет,Нет
C0149,53.0,2,1868.77,29.2,1,Юг,Премиум,Оптика,Нет,Нет
C0150,41.0,18,1750.38,25.0,6,Север,Базовый,Оптика,Нет,Да
C0151,37.0,52,1493.83,24.6,2,Центр,Премиум,Оптика,Да,Нет
C0152,26.0,15,1122.2,27.1,2,Запад,Премиум,Мобильный,Да,Нет
C0153,,18,1080.54,23.1,1,Центр,Стандарт,Оптика,Нет,Нет
C0154,33.0,20,1218.81,36.6,0,Восток,Премиум,Оптика,Нет,Нет
C0155,38.0,11,1683.32,23.5,0,Центр,Базовый,Оптика,Нет,Нет
C0156,62.0,10,1039.08,8.7,2,Центр,Стандарт,Оптика,Да,Нет
C0157,41.0,21,1638.13,29.3,1,Восток,Базовый,Мобильный,Да,Нет
C0158,52.0,53,916.05,8.3,0,Центр,Стандарт,Оптика,Нет,Нет
C0159,33.0,1,1362.25,29.2,3,Восток,Базовый,Оптика,Нет,Нет
C0160,24.0,17,1497.15,22.8,1,Центр,Базовый,Оптика,Да,Нет
C0161,26.0,4,2501.41,46.1,0,Восток,Базовый,Оптика,Да,Нет
C0162,30.0,34,857.75,25.5,6,Восток,Базовый,Оптика,Да,Нет
C0163,67.0,16,2082.97,42.8,0,Восток,Стандарт,Мобильный,Да,Нет
C0164,28.0,48,1514.43,40.4,0,Центр,Стандарт,Оптика,Да,Нет
C0165,50.0,36,1626.8,40.9,0,Восток,Базовый,Оптика,Да,Нет
C0166,27.0,48,1500.89,60.3,0,Запад,Премиум,Оптика,Да,Нет
C0167,51.0,39,1641.23,26.0,3,Центр,Премиум,Оптика,Нет,Нет
C0168,44.0,27,1383.92,30.2,0,Центр,Базовый,Оптика,Нет,Нет
C0169,37.0,52,2075.24,36.2,2,Восток,Стандарт,DSL,Нет,Нет
C0170,38.0,29,1253.72,30.7,1,Центр,Стандарт,Мобильный,Да,Нет
C0171,30.0,57,1936.86,25.5,3,Восток,Стандарт,Оптика,Да,Нет
C0172,45.0,60,1172.92,17.6,0,Восток,Стандарт,Оптика,Да,Нет
C0173,33.0,36,1424.09,29.5,2,Центр,Стандарт,DSL,Да,Нет
C0174,23.0,41,989.06,11.9,2,Юг,Базовый,Оптика,Да,Нет
C0175,22.0,16,1645.66,7.9,0,Юг,Базовый,Оптика,Нет,Нет
C0176,41.0,49,2071.4,15.3,1,Север,Стандарт,Мобильный,Нет,Нет
C0177,60.0,41,1416.74,40.7,0,,Стандарт,DSL,Нет,Нет
C0178,41.0,55,1365.34,33.0,0,Центр,Премиум,Мобильный,Да,Нет
C0179,37.0,17,970.71,40.9,2,Север,Базовый,Оптика,Да,Нет
C0180,43.0,48,1351.4,20.0,2,Запад,Базовый,Оптика,Да,Нет
C0181,56.0,29,765.1,48.4,2,Центр,Базовый,DSL,Да,Да
C0182,42.0,12,1057.46,12.7,2,Запад,Базовый,Оптика,Нет,Нет
C0183,34.0,11,1547.52,15.7,4,Центр,Базовый,Мобильный,Да,Да
C0184,53.0,34,2017.18,48.0,1,Юг,Стандарт,Оптика,Нет,Нет
C0185,45.0,20,2657.96,31.8,1,Центр,Стандарт,Оптика,Да,Нет
C0186,59.0,7,1197.77,41.0,2,Восток,Стандарт,Оптика,Нет,Нет
C0187,41.0,26,2067.18,33.1,0,Восток,Стандарт,Мобильный,Нет,Нет
C0188,23.0,40,1554.81,21.5,1,Запад,Базовый,Оптика,Да,Нет
C0189,21.0,20,1384.96,14.6,1,Запад,Стандарт,Оптика,Нет,Нет
C0190,,58,1636.02,9.3,1,Восток,Базовый,DSL,Да,Нет
C0191,61.0,47,1476.62,66.7,2,Восток,Премиум,Мобильный,Нет,Нет
C0192,37.0,31,1497.47,10.8,5,Юг,Базовый,Оптика,Нет,Нет
C0193,34.0,57,1274.42,57.0,2,Запад,Стандарт,DSL,Нет,Нет
C0194,58.0,26,848.81,30.9,0,Юг,Премиум,Мобильный,Нет,Да
C0195,25.0,9,786.24,33.6,1,Запад,Стандарт,DSL,Да,Да
C0196,27.0,3,1730.9,32.5,1,Центр,Стандарт,DSL,Нет,Да
C0197,47.0,57,1331.02,38.5,1,Юг,Стандарт,Оптика,Нет,Нет
C0198,34.0,58,1193.68,18.9,2,Восток,Базовый,Оптика,Да,Нет
C0199,39.0,45,1453.66,7.2,1,Центр,Стандарт,DSL,Да,Нет
C0200,37.0,7,1791.82,21.3,3,Центр,Премиум,Оптика,Нет,Нет
C0201,43.0,18,1527.56,36.8,4,Запад,Премиум,Оптика,Нет,Нет
C0202,57.0,3,1167.9,15.7,2,Север,Стандарт,Оптика,Да,Нет
C0203,40.0,4,1977.31,49.0,2,Центр,Базовый,DSL,Нет,Да
C0204,47.0,15,2129.05,27.4,0,Север,Стандарт,Оптика,Нет,Нет
C0205,18.0,35,1662.66,14.9,0,Север,Стандарт,Мобильный,Да,Нет
C0206,38.0,4,1868.68,31.6,1,Юг,Базовый,DSL,Да,Нет
C0207,28.0,60,1984.04,36.5,4,Запад,Базовый,DSL,Да,Нет
C0208,23.0,28,1935.94,37.9,0,Запад,Базовый,DSL,Нет,Нет
C0209,28.0,16,1714.06,3.5,1,Восток,Стандарт,Оптика,Да,Нет
C0210,35.0,31,1707.29,3.0,0,Восток,Базовый,DSL,Да,Нет
C0211,51.0,48,1673.45,48.0,1,Север,Базовый,Оптика,Нет,Нет
C0212,22.0,19,978.14,12.1,3,Запад,Базовый,Мобильный,Нет,Нет
C0213,39.0,3,1751.31,48.0,3,Центр,Премиум,DSL,Нет,Да
C0214,,4,867.0,50.2,2,Центр,Базовый,Оптика,Да,Да
C0215,35.0,52,1108.32,14.6,0,Запад,Базовый,DSL,Нет,Нет
C0216,52.0,7,2010.53,16.3,1,Запад,Стандарт,DSL,Да,Да
C0217,46.0,39,1811.29,42.0,2,Север,Базовый,Оптика,Да,Нет
C0218,56.0,24,2089.58,23.6,1,Восток,Премиум,Оптика,Нет,Да
C0219,37.0,47,1333.18,53.9,2,Юг,Премиум,Мобильный,Нет,Нет
C0220,30.0,4,6800.0,61.4,0,Север,Стандарт,Оптика,Да,Нет
C0221,36.0,54,1346.61,14.9,3,Центр,Стандарт,DSL,Нет,Нет
C0222,42.0,42,1493.87,18.7,2,Центр,Стандарт,Оптика,Да,Нет
C0223,41.0,27,1483.97,30.8,0,Юг,Базовый,DSL,Да,Да
C0224,25.0,13,1937.48,7.0,0,Север,Базовый,Мобильный,Да,Да
C0225,40.0,59,1294.65,9.5,1,Юг,Базовый,Оптика,Да,Нет
C0226,42.0,19,1601.37,17.5,2,Центр,Базовый,Оптика,Нет,Нет
C0227,72.0,30,1024.89,71.9,2,Запад,Стандарт,Оптика,Нет,Нет
C0228,63.0,24,1643.64,33.3,2,Юг,Базовый,Оптика,Нет,Нет
C0229,28.0,14,1451.34,20.4,1,Запад,Базовый,Оптика,Да,Нет
C0230,35.0,25,1127.58,16.3,2,Центр,Стандарт,DSL,Да,Нет
C0231,,10,1348.59,14.5,2,Юг,Стандарт,DSL,Да,Нет
C0232,31.0,1,1370.8,21.2,1,Запад,Базовый,DSL,Нет,Нет
C0233,43.0,18,1333.83,20.6,2,Север,Базовый,Оптика,Да,Нет
C0234,55.0,7,2211.68,25.9,3,Центр,Базовый,Оптика,Да,Нет
C0235,30.0,25,1407.67,37.4,3,Центр,Базовый,DSL,Нет,Нет
C0236,30.0,52,1345.12,28.0,3,Центр,Премиум,Оптика,Нет,Да
C0237,18.0,10,548.1,43.3,1,Север,Премиум,Оптика,Да,Нет
C0238,37.0,1,1065.49,24.9,2,Север,Стандарт,DSL,Да,Нет
C0239,25.0,7,1336.88,63.8,2,Центр,Стандарт,Мобильный,Нет,Да
C0240,32.0,31,1155.08,42.8,0,Юг,Стандарт,Оптика,Да,Нет
C0241,28.0,17,2044.13,32.8,2,Центр,Стандарт,Оптика,Да,Нет
C0242,38.0,30,1379.08,37.5,5,Север,Базовый,Оптика,Нет,Да
C0243,18.0,2,2004.03,21.6,1,Восток,Базовый,Оптика,Да,Нет
C0244,20.0,20,1476.53,25.6,0,Центр,Стандарт,Мобильный,Да,Нет
C0245,67.0,25,1466.01,25.1,1,Центр,Стандарт,Оптика,Да,Нет
C0246,22.0,26,1411.82,19.1,1,Центр,Базовый,Оптика,Да,Нет
C0247,25.0,34,1451.63,13.0,1,Центр,Базовый,Мобильный,Да,Нет
C0248,63.0,47,2189.08,38.5,2,Юг,Базовый,Мобильный,Да,Да
C0249,77.0,29,452.57,46.7,3,Центр,Базовый,Мобильный,Да,Нет
C0250,24.0,51,589.34,35.8,1,Центр,Стандарт,DSL,Да,Нет
C0251,34.0,32,1216.44,28.0,1,Запад,Стандарт,DSL,Нет,Нет
C0252,43.0,16,1456.25,78.0,6,Запад,Стандарт,Оптика,Нет,Нет
C0253,61.0,14,1746.74,20.3,0,Центр,Базовый,Оптика,Да,Нет
C0254,26.0,20,1653.43,33.4,2,Север,Базовый,Оптика,Да,Нет
C0255,36.0,36,1284.77,50.1,0,Юг,Премиум,Оптика,Нет,Нет
C0256,49.0,15,1888.19,15.4,1,Запад,Стандарт,Оптика,Нет,Нет
C0257,45.0,55,1892.98,40.0,1,Восток,Базовый,Оптика,Нет,Нет
C0258,34.0,29,1529.14,65.8,2,Центр,Базовый,Оптика,Да,Нет
C0259,37.0,52,1863.94,29.2,3,Центр,Премиум,Оптика,Да,Нет
C0260,21.0,41,1567.24,31.8,2,Север,Стандарт,Оптика,Да,Нет
C0261,36.0,21,1208.56,20.3,0,Запад,Премиум,Оптика,Нет,Нет
C0262,36.0,14,1750.06,37.3,4,Запад,Стандарт,Оптика,Да,Нет
C0263,42.0,45,1497.56,18.8,3,Центр,Стандарт,Оптика,Да,Нет
C0264,32.0,20,1450.58,28.3,3,Юг,Стандарт,Оптика,Да,Нет
C0265,45.0,15,2083.37,12.1,1,Центр,Базовый,Оптика,Да,Нет
C0266,52.0,56,396.12,4.8,3,Восток,Стандарт,DSL,Да,Нет
C0267,41.0,29,840.4,22.6,2,Запад,Стандарт,Оптика,Да,Да
C0268,44.0,3,939.56,22.4,5,Север,Базовый,Оптика,Нет,Да
C0269,,30,1293.8,23.7,5,Центр,Премиум,DSL,Нет,Да
C0270,39.0,28,1340.52,42.1,1,Юг,Стандарт,Оптика,Нет,Нет
C0271,30.0,52,801.85,47.4,1,Север,Базовый,Мобильный,Да,Нет
C0272,43.0,43,1026.38,34.1,2,Восток,Базовый,DSL,Нет,Нет
C0273,38.0,12,1079.84,40.7,4,Север,Премиум,Оптика,Нет,Нет
C0274,66.0,10,2506.69,19.1,2,Запад,Премиум,Мобильный,Да,Нет
C0275,59.0,37,2224.75,16.6,3,Центр,Стандарт,Мобильный,Да,Нет
C0276,44.0,3,,37.6,2,Центр,Премиум,Оптика,Нет,Нет
C0277,29.0,20,1293.66,15.3,7,Север,Премиум,Оптика,Да,Нет
C0278,25.0,9,955.84,14.3,4,Центр,Премиум,Мобильный,Да,Нет
C0279,54.0,2,629.5,98.5,2,Центр,Премиум,Оптика,Да,Нет
C0280,42.0,56,1399.74,30.2,0,Восток,Стандарт,DSL,Да,Нет
C0281,45.0,6,1020.92,22.4,0,Центр,Стандарт,DSL,Да,Нет
C0282,18.0,1,1413.51,21.0,2,Центр,Стандарт,Оптика,Да,Нет
C0283,51.0,56,761.91,12.3,0,Центр,Стандарт,Оптика,Да,Нет
C0284,45.0,12,1122.35,33.7,1,Центр,Базовый,DSL,Нет,Да
C0285,25.0,49,1513.91,24.8,2,Запад,Стандарт,Оптика,Да,Нет
C0286,33.0,2,1607.47,46.7,1,Запад,Премиум,Оптика,Да,Нет
C0287,42.0,10,1629.51,38.2,2,Центр,Базовый,Оптика,Да,Нет
C0288,40.0,7,882.19,24.4,2,Восток,Премиум,Мобильный,Нет,Нет
C0289,35.0,43,1817.51,8.3,3,Восток,Стандарт,Оптика,Нет,Нет
C0290,38.0,38,1105.91,30.2,3,Запад,Базовый,Мобильный,Да,Нет
C0291,36.0,29,1722.13,28.8,1,Север,Базовый,Мобильный,Да,Нет
C0292,41.0,15,1445.43,7.2,4,Центр,Стандарт,DSL,Да,Нет
C0293,58.0,6,858.15,36.0,3,Север,Стандарт,Оптика,Да,Нет
C0294,18.0,35,1314.03,15.0,5,Запад,Базовый,DSL,Нет,Да
C0295,36.0,14,1607.11,47.9,1,Восток,Стандарт,Мобильный,Да,Нет
C0296,41.0,36,1713.58,27.9,1,Юг,Базовый,DSL,Нет,Нет
C0297,43.0,42,1389.38,20.7,1,Центр,Стандарт,Оптика,Да,Нет
C0298,34.0,51,2108.66,32.4,2,Восток,Премиум,Мобильный,Да,Нет
C0299,18.0,30,1883.23,31.4,0,Запад,Стандарт,DSL,Нет,Нет
C0300,43.0,1,1339.64,30.8,4,Север,Стандарт,Мобильный,Да,Нет
C0301,61.0,17,1772.55,44.8,2,Восток,Стандарт,DSL,Нет,Нет
C0302,19.0,52,2281.53,33.4,3,Север,Премиум,Оптика,Да,Нет
C0303,50.0,32,2293.01,19.7,1,Юг,Базовый,Оптика,Нет,Нет
C0304,35.0,38,921.96,25.3,0,Юг,Базовый,Оптика,Да,Нет
C0305,38.0,28,1051.59,56.5,5,Восток,Базовый,Оптика,Да,Да
C0306,25.0,10,2088.52,18.7,0,Запад,Стандарт,Мобильный,Нет,Нет
C0307,35.0,54,994.94,35.7,1,Север,Стандарт,Оптика,Да,Нет
C0308,56.0,47,881.31,45.6,1,Север,Стандарт,Оптика,Да,Нет
C0309,47.0,60,1240.94,37.5,0,,Базовый,Мобильный,Нет,Да
C0310,62.0,52,1630.7,30.3,1,Центр,Базовый,Оптика,Да,Нет
C0311,54.0,18,1405.97,32.8,1,Центр,Стандарт,DSL,Нет,Да
C0312,45.0,16,1170.26,38.7,3,Центр,Премиум,Мобильный,Нет,Нет
C0313,62.0,15,1160.09,18.6,2,Север,Базовый,DSL,Нет,Нет
C0314,45.0,56,1143.7,28.9,3,Центр,Базовый,Оптика,Да,Нет
C0315,50.0,34,1071.81,77.8,3,Север,Базовый,Оптика,Да,Нет
C0316,35.0,28,2431.1,36.3,3,Восток,Стандарт,Оптика,Нет,Нет
C0317,40.0,59,1577.93,30.9,0,Центр,Базовый,DSL,Да,Нет
C0318,30.0,37,1831.31,23.9,3,Юг,Базовый,DSL,Да,Нет
C0319,52.0,55,1239.7,18.7,0,Запад,Стандарт,Оптика,Да,Нет
C0320,24.0,60,1370.04,33.3,2,Юг,Базовый,DSL,Да,Нет
C0321,49.0,5,1143.17,34.5,1,Центр,Стандарт,Оптика,Да,Нет
C0322,,22,350.0,27.9,0,Север,Базовый,Оптика,Нет,Нет
C0323,54.0,45,857.46,93.3,1,Юг,Премиум,Оптика,Нет,Нет
C0324,49.0,49,671.43,19.6,0,Юг,Стандарт,DSL,Нет,Нет
C0325,63.0,9,482.59,17.1,2,Центр,Базовый,Оптика,Да,Нет
C0326,49.0,20,936.0,24.1,2,Север,Базовый,Мобильный,Да,Нет
C0327,19.0,33,2019.73,28.4,1,Юг,Стандарт,Оптика,Да,Да
C0328,38.0,48,1430.89,18.2,1,Центр,Премиум,DSL,Нет,Нет
C0329,24.0,7,2004.94,32.9,0,Юг,Базовый,DSL,Да,Нет
